epoch,train_loss,val_loss,learning_rate,best_val_loss_so_far,patience_counter
1,3.726164976755778,2.8352427993501936,0.01,2.8352427993501936,0
2,3.1523200159981135,2.4555086408342635,0.01,2.4555086408342635,0
3,2.8210450467609225,2.183724990912846,0.01,2.183724990912846,0
4,2.7015055190949213,2.1390351908547536,0.01,2.1390351908547536,0
5,2.590023395561037,2.0817863515445163,0.01,2.0817863515445163,0
6,2.5045789924878923,2.0764644912311008,0.01,2.0764644912311008,0
7,2.340989215033395,2.120109634740012,0.01,2.0764644912311008,0
8,2.3070974312131365,2.1776400889669145,0.01,2.0764644912311008,0
9,2.0998619501552884,1.9851865683283125,0.01,1.9851865683283125,0
10,1.9626050733384632,2.1672381843839372,0.01,1.9851865683283125,0
11,1.8497529758347406,2.234969982079097,0.01,1.9851865683283125,0
12,1.8793914450539484,2.2358098370688304,0.01,1.9851865683283125,0
13,1.7231558807312497,2.2034184421811784,0.005,1.9851865683283125,0
14,1.3896250549762967,1.9281918832233973,0.005,1.9281918832233973,0
15,1.1697539829072499,1.8898858342851912,0.005,1.8898858342851912,0
16,1.0254714962035891,1.8297570432935442,0.005,1.8297570432935442,0
17,0.9105471453023335,1.8663243736539568,0.005,1.8297570432935442,0
18,0.8402100564941527,1.8179468171937125,0.005,1.8179468171937125,0
19,0.8142782442626499,1.8657113398824419,0.005,1.8179468171937125,0
20,0.7682557905477191,1.8636857611792428,0.005,1.8179468171937125,0
21,0.7315674729290462,1.8923642465046473,0.005,1.8179468171937125,0
22,0.7118318948953871,1.9288656456129891,0.0025,1.8179468171937125,0
23,0.5776710902887677,1.8214538863727026,0.0025,1.8179468171937125,0
24,0.46486535148015096,1.8193282059260778,0.0025,1.8179468171937125,0
25,0.4266926979734784,1.8055574297904968,0.0025,1.8055574297904968,0
26,0.38909407007315805,1.7941137041364397,0.0025,1.7941137041364397,0
27,0.37568329653096577,1.8037459424563818,0.0025,1.7941137041364397,0
28,0.36257814757880713,1.809102943965367,0.0025,1.7941137041364397,0
29,0.3526560874685409,1.8133614489010401,0.0025,1.7941137041364397,0
30,0.3291070685973243,1.827781651701246,0.00125,1.7941137041364397,0
31,0.2937976340689356,1.7904960768563407,0.00125,1.7904960768563407,0
32,0.2808374830536426,1.800229208809989,0.00125,1.7904960768563407,0
33,0.24735913206897084,1.8018298574856348,0.00125,1.7904960768563407,0
34,0.26011640998342683,1.8019336376871382,0.00125,1.7904960768563407,0
35,0.2434161695104743,1.7937401362827845,0.000625,1.7904960768563407,0
36,0.23571484045140326,1.801752311842782,0.000625,1.7904960768563407,0
37,0.22607285825033036,1.801322843347277,0.000625,1.7904960768563407,0
38,0.22480655763120877,1.7958831787109375,0.000625,1.7904960768563407,0
39,0.22069579546177198,1.8040931735719954,0.0003125,1.7904960768563407,0
40,0.2235518895562679,1.7977905103138514,0.0003125,1.7904960768563407,0
