epoch,train_loss,val_loss,learning_rate
1,5.752171754837036,4.893606424331665,0.01
2,4.389557600021362,4.127302408218384,0.01
3,3.812158763408661,4.311927556991577,0.01
4,3.5852562189102173,4.062673091888428,0.01
5,3.5047998428344727,3.9730297327041626,0.01
6,3.496613085269928,4.381474733352661,0.01
7,3.302724838256836,3.813902258872986,0.01
8,3.2082571983337402,3.8601709604263306,0.01
9,3.307362973690033,3.9031559228897095,0.01
10,3.168648064136505,3.879545569419861,0.01
11,3.0743407011032104,3.7948256731033325,0.01
12,2.677683711051941,3.486492156982422,0.01
13,2.602010667324066,3.390446424484253,0.01
14,2.356988549232483,3.334519863128662,0.01
15,2.375403642654419,3.456718683242798,0.01
16,2.146818161010742,3.2506234645843506,0.01
17,2.0784333646297455,3.291794180870056,0.01
18,2.0953434109687805,3.1932358741760254,0.01
19,1.741140067577362,3.3295563459396362,0.01
20,1.66292005777359,3.1284841299057007,0.01
21,1.6323076486587524,3.239663600921631,0.01
22,1.5962778627872467,3.2783972024917603,0.01
23,1.516898274421692,3.1081244945526123,0.01
24,1.2840261161327362,3.0497173070907593,0.01
25,1.2832594811916351,3.0622329711914062,0.01
26,1.5282836854457855,3.297771453857422,0.01
27,1.3320989608764648,3.2126041650772095,0.01
28,1.1503580212593079,3.1312426328659058,0.005
29,1.1765328794717789,3.0931824445724487,0.005
30,1.1725284606218338,3.0290552377700806,0.005
31,0.9194086194038391,2.9059399366378784,0.005
32,0.9198310077190399,2.890786647796631,0.005
33,1.1607184410095215,2.9618130922317505,0.005
34,1.1238722056150436,2.960580587387085,0.005
35,0.9994361698627472,2.8947622776031494,0.005
36,0.8020544052124023,2.8001712560653687,0.005
37,0.9205939173698425,2.826449394226074,0.005
38,0.8618009090423584,2.813354730606079,0.005
39,0.9859550595283508,2.7561274766921997,0.005
40,1.1775969564914703,2.8005177974700928,0.005
41,0.9927890747785568,2.8497177362442017,0.005
42,0.7737311571836472,2.783041477203369,0.005
43,0.9124397337436676,2.7574506998062134,0.0025
44,0.9149474650621414,2.749165177345276,0.0025
45,1.0163870006799698,2.748190402984619,0.0025
46,0.7294957935810089,2.737959861755371,0.0025
47,0.7066159322857857,2.7080771923065186,0.0025
48,0.8165298849344254,2.696677088737488,0.0025
49,0.8072289377450943,2.6842784881591797,0.0025
50,0.7443147301673889,2.67844557762146,0.0025
51,0.8307231888175011,2.690043568611145,0.0025
52,0.6887997835874557,2.6754868030548096,0.0025
53,0.9866388142108917,2.673411726951599,0.0025
54,0.7526888847351074,2.6800864934921265,0.0025
55,0.7359237670898438,2.6473007202148438,0.0025
56,0.9656047075986862,2.634809732437134,0.0025
57,0.9029050916433334,2.652797222137451,0.0025
58,0.6101775541901588,2.658759832382202,0.0025
59,0.7544926106929779,2.636545181274414,0.0025
60,0.7300610542297363,2.6196157932281494,0.0025
61,0.8235333859920502,2.5966840982437134,0.0025
62,0.5402271673083305,2.5809799432754517,0.0025
63,0.6435057520866394,2.5706182718276978,0.0025
64,0.6894310116767883,2.56756591796875,0.0025
65,0.8932872414588928,2.576627731323242,0.0025
66,0.7665416747331619,2.5964548587799072,0.0025
67,1.1096566021442413,2.604495048522949,0.0025
68,0.8777203857898712,2.5960482358932495,0.00125
69,0.9097839593887329,2.596189856529236,0.00125
70,0.8100012168288231,2.5937728881835938,0.00125
71,0.6264180466532707,2.595102071762085,0.00125
